0.01, -0.01148536, 0, 9.19311, 0, 0.000210636566530405810176, 62533.67, -1674.401, -9, 0.004559922, 0.07619628, 331.6871, 1.311476, 0.9245149, 2.023613
 
0.02, 0.6027086, -0.0001148536, 9.180538, 0, -0.0110785248800266997477772937, 62396.64, -1674.191, -9, 0.004559922, 0.07619628, 331.3719, 1.311112, 0.9245149, 2.023613
 
0.03, 0.5094804, 0.005912233, 9.165742, 0, -0.00989003247689533123830, 62260.02, -1673.57, -9, 0.004559922, 0.07619628, 331.0573, 1.311005, 0.9245149, 2.023613
 
0.04, 0.3677647, 0.01100704, 9.150994, 0, -0.00771897312494765310282, 62123.93, -1672.95, -9, 0.004559922, 0.07619628, 330.7435, 1.310926, 0.9245149, 2.023613
 
0.05, 0.1922879, 0.01468468, 9.136296, 0, -0.00479160314014808550312, 61988.35, -1672.333, -9, 0.004559922, 0.07619628, 330.4307, 1.310869, 0.9245149, 2.023613
 
0.05999999, 0.0007100225, 0.01660756, 9.121647, 0, -0.0014035289268810856180004811, 61853.29, -1671.717, -9, 0.004559922, 0.07619628, 330.1186, 1.310826, 0.9245149, 2.023613
 
0.06999999, -0.1882025, 0.01661466, 9.107034, 0, 0.0021121585777002276422, 61718.63, -1671.102, -9, 0.004559922, 0.07619628, 329.8071, 1.310665, 0.9245149, 2.023613
 
0.07999999, -0.3561991, 0.01473264, 9.09247, 0, 0.0054151462854674685840209291, 61584.48, -1670.489, -9, 0.004559922, 0.07619628, 329.4964, 1.310429, 0.9245149, 2.023613
 
0.08999999, -0.4871929, 0.01117065, 9.077954, 0, 0.00818391299912085037012, 61450.84, -1669.878, -9, 0.004559922, 0.07619628, 329.1866, 1.310209, 0.9245149, 2.023613
 
0.09999999, -0.5693962, 0.006298718, 9.063478, 0, 0.01016034918349962616248, 61317.6, -1669.268, -9, 0.004559922, 0.07619628, 328.8774, 1.310013, 0.9245149, 2.023613
 
0.11, -0.5957677, 0.0006047562, 9.04905, 0, 0.01116334196963697677631, 61184.89, -1668.659, -9, 0.004559922, 0.07619628, 328.5691, 1.309845, 0.9245149, 2.023613
 
0.12, -0.5646306, -0.00535292, 9.034662, 0, 0.0111059570751230511064711444, 61052.61, -1668.052, -9, 0.004559922, 0.07619628, 328.2613, 1.309708, 0.9245149, 2.023613
 
0.13, -0.4800016, -0.01099923, 9.020327, 0, 0.0100075532348215240717349344, 60920.86, -1667.448, -9, 0.004559922, 0.07619628, 327.9545, 1.309601, 0.9245149, 2.023613
 
0.14, -0.3508087, -0.01579924, 9.00603, 0, 0.0079851492365623035026347587, 60789.54, -1666.844, -9, 0.004559922, 0.07619628, 327.6484, 1.30952, 0.9245149, 2.023613
 
0.15, -0.1901799, -0.01930733, 8.991778, 0, 0.0052449365607373914614, 60658.66, -1666.242, -9, 0.004559922, 0.07619628, 327.343, 1.309461, 0.9245149, 2.023613
 
0.16, -0.01383299, -0.02120913, 8.977565, 0, 0.0020558326894736598597, 60528.22, -1665.641, -9, 0.004559922, 0.07619628, 327.0382, 1.309414, 0.9245149, 2.023613
 
0.17, 0.1613006, -0.02134746, 8.963405, 0, -0.001274501138043706772172, 60398.33, -1665.042, -9, 0.004559922, 0.07619628, 326.7344, 1.309299, 0.9245149, 2.023613
 
0.18, 0.3185171, -0.01973445, 8.949286, 0, -0.0044277641312520013570328741, 60268.88, -1664.444, -9, 0.004559922, 0.07619628, 326.4312, 1.309072, 0.9245149, 2.023613
 
0.19, 0.4432282, -0.01654928, 8.935208, 0, -0.0071067561697875653526, 60139.86, -1663.848, -9, 0.004559922, 0.07619628, 326.1288, 1.308859, 0.9245149, 2.023613
 
0.2, 0.5241984, -0.012117, 8.921173, 0, -0.00906258602670227754992, 60011.26, -1663.254, -9, 0.004559922, 0.07619628, 325.827, 1.308667, 0.9245149, 2.023613
 
0.21, 0.5547188, -0.006875014, 8.907184, 0, -0.0101218517581385049083762680, 59883.2, -1662.661, -9, 0.004559922, 0.07619628, 325.5262, 1.308501, 0.9245149, 2.023613
 
0.22, 0.5327314, -0.001327826, 8.893237, 0, -0.01019428823666491087976, 59755.53, -1662.069, -9, 0.004559922, 0.07619628, 325.2259, 1.308363, 0.9245149, 2.023613
 
0.23, 0.4612104, 0.003999487, 8.87933, 0, -0.0092853733156667958862694673, 59628.27, -1661.48, -9, 0.004559922, 0.07619628, 324.9262, 1.308254, 0.9245149, 2.023613
 
0.24, 0.3476256, 0.008611592, 8.865465, 0, -0.00749134880799169684944, 59501.51, -1660.891, -9, 0.004559922, 0.07619628, 324.6275, 1.30817, 0.9245149, 2.023613
 
0.25, 0.2033569, 0.01208785, 8.851639, 0, -0.00499262660851661987352, 59375.13, -1660.303, -9, 0.004559922, 0.07619628, 324.3293, 1.308106, 0.9245149, 2.023613
 
0.26, 0.04224069, 0.01412142, 8.837859, 0, -0.0020293192225352013048, 59249.25, -1659.718, -9, 0.004559922, 0.07619628, 324.0319, 1.308056, 0.9245149, 2.023613
 
0.27, -0.1204453, 0.01454382, 8.824118, 0, 0.001116326633223800024500, 59123.74, -1659.134, -9, 0.004559922, 0.07619628, 323.7351, 1.307947, 0.9245149, 2.023613
 
0.28, -0.2696166, 0.01333937, 8.81042, 0, 0.00415220947139259905050, 58998.73, -1658.551, -9, 0.004559922, 0.07619628, 323.4391, 1.307727, 0.9245149, 2.023613
 
0.29, -0.3915063, 0.01064321, 8.796759, 0, 0.00679458255226596056200, 58874.09, -1657.969, -9, 0.004559922, 0.07619628, 323.1437, 1.307519, 0.9245149, 2.023613
 
0.3, -0.4754865, 0.006728142, 8.783146, 0, 0.0088061399347765040572746557, 58749.95, -1657.39, -9, 0.004559922, 0.07619628, 322.8492, 1.30733, 0.9245149, 2.023613
 
0.31, -0.514396, 0.001973277, 8.769572, 0, 0.01000681259273273753634, 58626.19, -1656.812, -9, 0.004559922, 0.07619628, 322.5552, 1.307163, 0.9245149, 2.023613
 
0.32, -0.5055607, -0.003170682, 8.756032, 0, 0.01029804622894173011802, 58502.83, -1656.234, -9, 0.004559922, 0.07619628, 322.2619, 1.307022, 0.9245149, 2.023613
 
0.33, -0.4505808, -0.008226289, 8.742533, 0, 0.0096636393335810568166728468, 58379.86, -1655.659, -9, 0.004559922, 0.07619628, 321.9692, 1.306908, 0.9245149, 2.023613
 
0.3399999, -0.3552842, -0.0127321, 8.729073, 0, 0.00817359631277662846935, 58257.3, -1655.084, -9, 0.004559922, 0.07619628, 321.6771, 1.306818, 0.9245149, 2.023613
 
0.3499999, -0.2290507, -0.01628494, 8.715658, 0, 0.0059751429612846456465, 58135.27, -1654.511, -9, 0.004559922, 0.07619628, 321.386, 1.306748, 0.9245149, 2.023613
 
