height,wind_v
2,-0.00047412276081452
6,0.741588074298523
10,-0.00059265345101815
80,0.197960561703108
120,0.726258062741561
230,0.996327909866351
460,0.801957343157467
937,-0.129999948631405
1443,-2.5064335130759
1979,-4.62489231759107
2547,-4.99378482809653
3150,-5.4931517880491
3790,-6.60040618517498
4474,-7.30845826912747
5207,-7.9990684059268
6000,-9.33401906371535
6862,-11.6745244731148
7811,-13.3382673096225
8870,-14.0014399583465
10074,-16.9976687806312
11499,-10.3640654362835
13316,-8.07516357829265
15769,-5.79401593738565
17925,1.403993402467
19952,5.68673658523144
23167,10.9577646512287
25725,18.7269772677369
30199,11.4009901832406
