height,wind_u
2,0.399999719009411
6,1.83587775411605
10,0.499999648761764
80,0.198019231415007
120,1.42567500725196
230,2.23826510852074
460,2.7973137864308
937,-0.000115567434787787
1443,0.261134150447661
1979,1.67832388134325
2547,0.87579283547702
3150,1.36414201366755
3790,2.01112858631761
4474,1.28173231543185
5207,-0.989193933111048
6000,-0.334197723209429
6862,0.60131383373634
7811,0.92061130617414
8870,0.721165094010564
10074,0.281524464219391
11499,4.60236326602252
13316,13.9515638257443
15769,13.6078462409494
17925,9.99184179847885
19952,6.31751747209221
23167,6.07686546241424
25725,9.54676502348656
30199,8.91057365390422
