checksum,uptime mp,uptime nav, errorflag mp, errorflag nav,accel x, accel y, accel z, gyro x, gyro y, gyro z, mag x, mag y, mag z, magraw x, magraw y, magraw z, euler x, euler y, euler z, quat w, quat x, quat y, quat z, altitude, pressure, verticalvel,maxrecorded alt,  imutemp, barotemp, state,checksum2
101,39097,38983,0,0,-0.054647,0.138070,10.080307,-0.833304,0.821788,2.592621,-3.477111,30.710800,-44.489914,-1332.000000,1852.000000,-3044.000000,89.163366,179.963655,-24.921397,0.151675,-0.153465,0.695521,0.685342,1340.783447,86134.296875,0.083230,1340.867676,1.96521022.125000,23.569054,0,202
101,41170,41085,0,0,-0.062925,0.122555,10.087179,-0.115249,0.539502,4.047695,-3.794879,30.602098,-45.264542,-1384.000000,1833.000000,-3097.000000,89.202571,-179.963832,-24.552782,0.149081,-0.151610,0.695682,0.686160,1340.889160,86130.726562,0.355934,1340.889160,2.07092322.250000,23.601530,0,202
101,43302,43168,0,0,-0.058917,0.134933,10.090486,-1.229496,0.953505,2.726018,-3.666550,30.682196,-45.425312,-1363.000000,1847.000000,-3108.000000,89.168147,179.975307,-25.743430,0.156523,-0.158513,0.694358,0.684281,1340.808350,86134.695312,-0.096137,1340.889160,1.99011222.250000,23.652565,0,202
101,45375,45270,0,0,-0.035679,0.176739,10.075762,0.712344,1.771989,1.456200,-3.819323,30.522003,-45.016079,-1388.000000,1819.000000,-3080.000000,89.010260,179.738067,-27.230945,0.166596,-0.166330,0.693521,0.680888,1340.833496,86133.304688,-0.136014,1340.904785,2.01525922.250000,23.694319,0,202
101,47448,47357,0,0,-0.053702,0.138177,10.092837,0.619551,1.881301,-3.597204,-3.434335,30.647869,-45.176849,-1325.000000,1841.000000,-3091.000000,89.143831,179.929886,-27.476188,0.167091,-0.168759,0.692092,0.681622,1340.810547,86133.859375,0.043368,1340.904785,1.99231022.375000,23.736074,0,202
101,49522,49376,0,0,-0.059852,0.131745,10.082195,0.518215,0.821790,1.847006,-3.483223,30.544888,-43.642212,-1333.000000,1823.000000,-2986.000000,89.166439,179.964147,-27.012179,0.164155,-0.166127,0.692586,0.682480,1340.854248,86132.585938,-0.020290,1340.924805,2.03601122.375000,23.768551,0,202
101,51593,51493,0,0,-0.068587,0.118760,10.090458,-0.313447,2.300247,4.894262,-3.330449,30.716522,-43.963753,-1308.000000,1853.000000,-3008.000000,89.206164,-179.926007,-25.169251,0.152546,-0.155571,0.694784,0.685421,1340.776611,86133.437500,-0.319242,1340.924805,1.95837422.375000,23.814943,0,202
101,53672,53580,0,0,-0.066791,0.138865,10.078593,-0.421865,1.981592,-4.071786,-3.611552,30.573496,-44.665302,-1354.000000,1828.000000,-3056.000000,89.129024,-179.982588,-25.632674,0.155553,-0.158147,0.694687,0.684253,1340.849976,86131.414062,0.017587,1340.924805,2.03173822.375000,23.838140,0,202
101,55750,55669,0,0,-0.056682,0.129010,10.088840,0.785079,1.504849,2.960791,-3.428224,30.613541,-44.431454,-1324.000000,1835.000000,-3040.000000,89.183037,179.986372,-25.177155,0.153093,-0.155126,0.695029,0.685152,1340.816650,86134.148438,-0.053278,1340.924805,1.99841322.375000,23.889174,0,202
101,57831,57679,0,0,-0.063515,0.136624,10.091946,-0.379314,1.740552,-0.588854,-3.568776,30.733685,-44.197605,-1347.000000,1856.000000,-3024.000000,89.145956,-179.969460,-24.357990,0.147874,-0.150466,0.696285,0.686062,1340.885376,86131.648438,-0.015787,1340.929932,2.06713922.375000,23.921650,0,202
101,59963,59863,0,0,-0.054503,0.149518,10.104397,1.856483,1.697291,3.474455,-3.697104,30.687914,-43.861443,-1368.000000,1848.000000,-3001.000000,89.077155,179.927004,-24.917647,0.151760,-0.153337,0.696090,0.684775,1340.849121,86130.148438,0.226128,1340.929932,2.03088422.500000,23.954124,0,202
101,62045,61962,0,0,-0.055256,0.151573,10.086130,0.626485,2.052774,-3.129370,-3.800990,30.790895,-44.869919,-1385.000000,1866.000000,-3070.000000,89.091970,179.954844,-24.901746,0.151515,-0.153387,0.695986,0.684923,1340.854980,86131.914062,0.016980,1340.929932,2.03674322.500000,23.995878,0,202
101,64128,64002,0,0,-0.076025,0.120794,10.088636,1.235040,1.397779,1.780256,-3.507666,30.630703,-45.118385,-1327.000000,1825.000000,-3080.000000,89.178823,-179.881747,-23.270152,0.140862,-0.144335,0.697376,0.687744,1340.894897,86132.242188,0.135672,1340.929932,2.07666022.500000,24.037630,0,202
101,66215,66114,0,0,-0.058970,0.143934,10.089441,1.316102,1.137329,2.719868,-3.507666,30.596376,-44.533764,-1337.000000,1832.000000,-3047.000000,89.107918,179.966387,-24.936630,0.151675,-0.153647,0.695828,0.684989,1340.856934,86133.781250,0.172373,1340.929932,2.03869622.625000,24.074743,0,202
101,68300,68202,0,0,0.572373,0.806715,10.090761,1.466130,0.505898,4.633725,-3.605441,30.779451,-44.343761,-1353.000000,1864.000000,-3034.000000,87.358181,175.647631,-24.283882,0.172004,-0.126370,0.712046,0.668905,1340.835449,86131.703125,-0.289197,1340.946289,2.01721222.625000,24.107218,0,202
101,70440,70340,0,0,-0.047926,0.148247,10.092669,-0.214888,0.894583,-2.625950,-3.556554,30.596376,-44.446068,-1345.000000,1832.000000,-3041.000000,89.114796,179.960677,-21.762549,0.132689,-0.134274,0.699782,0.688962,1340.831909,86134.054688,-0.272555,1340.948486,2.01367222.625000,24.153610,0,202
101,72498,72415,0,0,-0.059527,0.144343,10.089807,-1.223544,1.549879,3.460476,-3.580997,30.630703,-44.007599,-1349.000000,1838.000000,-3011.000000,89.119953,-179.959570,-20.478266,0.124477,-0.126898,0.701125,0.690526,1340.953125,86130.359375,0.017245,1340.999146,2.13488822.625000,24.172167,0,202
101,74559,74424,0,0,-0.052487,0.146060,10.095018,-0.069219,1.993317,2.877962,-3.562664,30.527725,-44.358376,-1346.000000,1820.000000,-3035.000000,89.113669,179.994363,-21.009481,0.127951,-0.129877,0.700619,0.689851,1340.905151,86132.273438,-0.060552,1340.999146,2.08691422.750000,24.218557,0,202
101,76673,76543,0,0,-0.044560,0.158757,10.082351,0.604309,2.017346,2.709161,-3.440446,30.790895,-43.949139,-1326.000000,1866.000000,-3007.000000,89.064765,179.934217,-20.969063,0.128020,-0.129322,0.701026,0.689528,1340.955933,86131.179688,-0.085605,1341.018188,2.13769522.750000,24.241753,0,202
101,78731,78617,0,0,-0.049513,0.141496,10.084150,1.332516,2.044579,-2.890818,-3.507666,30.624981,-45.308392,-1337.000000,1837.000000,-3100.000000,89.127371,179.968258,-22.802822,0.138907,-0.140652,0.698450,0.687815,1340.907593,86133.007812,0.126597,1341.018188,2.08935522.875000,24.283504,0,202
101,80791,80692,0,0,-0.049359,0.150723,10.076740,-0.108821,1.529094,3.240497,-3.752103,30.504841,-44.519146,-1377.000000,1816.000000,-3046.000000,89.100733,179.970540,-20.802678,0.126837,-0.128483,0.700956,0.689975,1340.925049,86131.851562,-0.069353,1341.018188,2.10681222.750000,24.311338,0,202
101,82849,82698,0,0,-0.052952,0.145167,10.091162,0.599956,1.548939,3.385932,-3.758214,30.378977,-42.882198,-1378.000000,1794.000000,-2934.000000,89.117405,-179.993612,-20.176386,0.122863,-0.124848,0.701509,0.690799,1340.893311,86132.515625,-0.132024,1341.018188,2.07507323.000000,24.348452,0,202
101,84931,84786,0,0,-0.050439,0.121626,10.093324,-0.132159,1.387560,3.262072,-3.519888,30.796618,-44.022213,-1339.000000,1867.000000,-3012.000000,89.232938,-179.980129,-21.117208,0.128580,-0.130555,0.699749,0.690488,1340.937988,86130.414062,0.086747,1341.018188,2.11975122.875000,24.376286,0,202
101,87019,86874,0,0,-0.060115,0.134867,10.083835,-0.338143,1.957996,-2.765098,-3.477111,30.710800,-43.978371,-1332.000000,1852.000000,-3009.000000,89.156064,-179.938916,-20.701690,0.125737,-0.128350,0.700636,0.690526,1340.919800,86133.171875,-0.079188,1341.031982,2.10156223.000000,24.413397,0,202
101,89107,88962,0,0,-0.065748,0.123965,10.078631,0.292784,1.388782,1.989093,-3.678771,30.665031,-44.372990,-1365.000000,1844.000000,-3036.000000,89.195222,-179.930624,-23.006637,0.139598,-0.142418,0.697667,0.688106,1340.976807,86132.382812,-0.044168,1341.031982,2.15856922.875000,24.445869,0,202
101,91195,91050,0,0,-0.067625,0.138570,10.092198,-0.123167,1.255220,-2.132061,-3.849878,30.430466,-44.562992,-1393.000000,1803.000000,-3049.000000,89.123669,-179.939476,-22.721318,0.137851,-0.140713,0.698460,0.688004,1340.985107,86130.570312,0.079612,1341.031982,2.16687023.000000,24.473703,0,202
101,93318,93216,0,0,-0.058097,0.139636,10.089349,0.016662,2.144336,-2.992790,-3.623773,30.893873,-45.176849,-1356.000000,1884.000000,-3091.000000,89.135731,-179.970348,-21.766490,0.132316,-0.134689,0.699572,0.689167,1340.951538,86131.796875,-0.039319,1341.031982,2.13330123.000000,24.506174,0,202
101,95386,95304,0,0,-0.054610,0.135123,10.092808,0.783535,2.093282,2.710693,-3.660439,30.727962,-44.358376,-1362.000000,1855.000000,-3035.000000,89.159254,-179.975553,-20.800296,0.126559,-0.128728,0.700547,0.690396,1340.989624,86132.070312,-0.207899,1341.070190,2.17138723.000000,24.534008,0,202
101,97451,97302,0,0,-0.056133,0.138068,10.083972,0.137426,1.721177,-2.249188,-3.642107,30.636425,-44.124527,-1359.000000,1839.000000,-3019.000000,89.147178,-179.980020,-21.744788,0.132258,-0.134485,0.699540,0.689250,1340.932617,86132.000000,-0.181296,1341.075317,2.11438023.000000,24.566481,0,202
101,99526,99384,0,0,-0.051921,0.140045,10.084979,-0.564962,1.760377,2.153161,-3.678771,30.785173,-43.905293,-1365.000000,1865.000000,-3004.000000,89.149323,179.987847,-22.262713,0.135570,-0.137450,0.698950,0.688620,1340.961914,86132.070312,-0.210561,1341.075317,2.14367723.125000,24.598951,0,202
101,101614,101469,0,0,-0.044202,0.141185,10.085601,-0.289832,1.038997,3.439947,-3.715438,30.762291,-43.159897,-1371.000000,1861.000000,-2953.000000,89.156542,179.965321,-20.435854,0.124721,-0.126146,0.701033,0.690713,1341.030762,86131.179688,-0.099798,1341.095825,2.21252423.125000,24.622147,0,202
101,103702,103557,0,0,-0.046196,0.137699,10.091235,0.996116,2.296159,-2.427049,-3.721548,30.464792,-43.496056,-1372.000000,1809.000000,-2976.000000,89.159234,179.989555,-20.520680,0.125087,-0.126808,0.700897,0.690664,1340.983643,86131.164062,-0.079054,1341.095825,2.16540523.125000,24.649979,0,202
101,105777,105645,0,0,-0.057092,0.138983,10.083670,0.198020,1.374323,2.127492,-3.727659,30.750847,-43.978371,-1373.000000,1859.000000,-3009.000000,89.132521,-179.983230,-21.529904,0.130968,-0.133171,0.699882,0.689404,1341.044800,86130.945312,0.055121,1341.095825,2.22656223.250000,24.682449,0,202
101,107850,107765,0,0,-0.060815,0.147377,10.086678,0.184973,1.166513,3.435202,-3.807101,30.670752,-43.218357,-1386.000000,1845.000000,-2957.000000,89.094285,-179.978162,-21.392185,0.130064,-0.132403,0.700266,0.689333,1340.999512,86131.859375,0.005277,1341.095825,2.18127423.250000,24.705645,0,202
101,109981,109895,0,0,-0.051425,0.134869,10.086876,-0.279291,2.105746,-3.331117,-3.635995,30.682196,-43.627594,-1358.000000,1847.000000,-2985.000000,89.179355,-179.996590,-22.029027,0.134106,-0.136083,0.699030,0.689096,1341.100586,86129.476562,-0.163108,1341.174316,2.28234923.250000,24.738115,0,202
101,112057,111932,0,0,-0.054472,0.129780,10.084764,0.233159,2.044354,3.774118,-3.807101,30.544888,-44.884537,-1386.000000,1823.000000,-3071.000000,89.185031,-179.964392,-20.827921,0.126686,-0.128936,0.700348,0.690535,1341.078735,86131.351562,0.031535,1341.174316,2.26049823.125000,24.775225,0,202
101,114136,114036,0,0,-0.050268,0.147875,10.089472,0.659375,2.340746,-3.780417,-3.929318,30.745125,-43.671440,-1404.000000,1869.000000,-2988.000000,89.114318,179.974966,-21.851730,0.133137,-0.134906,0.699664,0.688873,1341.156006,86128.718750,0.160924,1341.174316,2.33776923.250000,24.793779,0,202
101,116218,116125,0,0,-0.060322,0.126555,10.091226,0.474592,1.472993,-3.517524,-3.654328,30.848106,-43.656826,-1361.000000,1876.000000,-2987.000000,89.190495,-179.954912,-23.000257,0.139702,-0.142239,0.697734,0.688054,1341.126587,86128.843750,0.077670,1341.174316,2.30835023.250000,24.821611,0,202
101,118299,118164,0,0,-0.054387,0.134608,10.086072,0.272059,1.520760,1.960406,-3.550443,30.739403,-43.729904,-1344.000000,1857.000000,-2992.000000,89.164711,-179.997587,-22.444353,0.136591,-0.138627,0.698621,0.688515,1341.100586,86128.976562,0.108328,1341.174316,2.28234923.250000,24.854082,0,202
101,120380,120273,0,0,-0.051273,0.138507,10.087500,-1.306346,1.103760,2.388172,-3.464890,30.899595,-43.349899,-1330.000000,1885.000000,-2966.000000,89.162847,179.986713,-22.170647,0.135040,-0.136866,0.698980,0.688809,1341.162354,86128.515625,0.296943,1341.174316,2.34411623.250000,24.877275,0,202
101,122463,122363,0,0,-0.051400,0.148521,10.082675,-0.954278,1.505584,-3.993499,-3.556554,30.808058,-43.832214,-1345.000000,1869.000000,-2999.000000,89.117385,179.956811,-23.250102,0.141648,-0.143321,0.697969,0.687192,1341.111572,86129.390625,-0.256074,1341.214844,2.29333523.250000,24.919024,0,202
101,124547,124451,0,0,-0.040118,0.127951,10.089873,-0.610416,2.044622,-3.144393,-3.550443,30.676474,-43.393742,-1344.000000,1846.000000,-2969.000000,89.235096,179.960622,-22.331749,0.136254,-0.137605,0.698384,0.689028,1341.034790,86131.476562,-0.482235,1341.222168,2.21655323.375000,24.956131,0,202
101,126688,126588,0,0,-0.055142,0.122715,10.087120,-0.389747,2.515926,3.435456,-3.568776,30.727962,-43.744518,-1347.000000,1855.000000,-2993.000000,89.218656,-179.955991,-22.058970,0.134086,-0.136464,0.698710,0.689349,1341.157227,86129.132812,0.083832,1341.222168,2.33898923.375000,24.974686,0,202
