checksum,uptime mp,uptime nav, errorflag mp, errorflag nav,accel x, accel y, accel z, gyro x, gyro y, gyro z, mag x, mag y, mag z, magraw x, magraw y, magraw z, euler x, euler y, euler z, quat w, quat x, quat y, quat z, altitude, pressure, verticalvel,maxrecorded alt,altitudeagl,filteredalt,imutemp, barotemp, state,checksum2
101,7678,-1436431111,0,0,0.000001,125472642971471970304.000000,-146008857035486599730692096.000000,0.000000,-0.000000,-1398878.694928,7386776250963324446408097619471499264.000000,0.000002,-68781036427038721924866768896.000000,7.021421,2629667171069673570513598429502898176.000000,27642487111680.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10551178559488.000000,-92584860401994301440.000000,-3542501120.000000,0.000000,0.000000,-0.001385,0.000000,98855418961478759856734208.000000,-0.166589,-0.000000,16188526592.000000,0,202
101,7678,-1436431111,0,0,0.000001,125472642971471970304.000000,-146008857035486599730692096.000000,0.000000,-0.000000,-1398878.694928,7386776250963324446408097619471499264.000000,0.000002,-68781036427038721924866768896.000000,7.021421,2629667171069673570513598429502898176.000000,27642487111680.000000,-0.000000,-0.000000,-0.000000,-0.000000,-10551178559488.000000,-92584860401994301440.000000,-3542501120.000000,0.000000,0.000000,-0.001385,0.000000,98855418961478759856734208.000000,-0.166589,-0.000000,16188526592.000000,0,202
101,12008,11923,0,0,-0.229842,-0.331886,9.902087,0.625404,0.219405,-0.098038,-27.981857,43.177055,-33.075123,-5333.000000,4031.000000,-2263.000000,69.068410,-92.334616,124.703859,0.626989,-0.344211,-0.623534,0.315609,1212.342163,87491.382812,8.177544,0.278442,0.278442,0.258808,21.000000,22.538157,0,202
101,14066,13941,0,0,-0.205206,-0.345022,9.907041,-0.503962,-0.319832,-0.223039,-27.865751,43.199944,-32.417423,-5323.000000,4035.000000,-2218.000000,66.567297,-92.300738,122.197890,0.626364,-0.344040,-0.624194,0.315731,1212.418701,87494.265625,0.139039,0.421021,0.354980,0.393357,21.000000,22.570894,0,202
101,16179,16026,0,0,-0.221792,-0.345570,9.897728,-0.800213,0.243255,0.128192,-27.847418,43.096958,-32.125111,-5320.000000,4017.000000,-2198.000000,65.708913,-92.254559,121.497946,0.625702,-0.344636,-0.623953,0.316869,1212.389648,87495.093750,-0.082589,0.497803,0.325928,0.461267,21.000000,22.603632,0,202
101,18234,18122,0,0,-0.210617,-0.332555,9.896305,0.138576,-0.173204,-0.055195,-27.584648,43.074078,-32.695118,-5277.000000,4013.000000,-2237.000000,66.740572,-92.252046,122.670812,0.625560,-0.345371,-0.623280,0.317673,1212.490601,87491.585938,-0.134280,0.534180,0.426880,0.371835,21.000000,22.622339,0,202
101,20294,20140,0,0,-0.219572,-0.344985,9.890189,0.091384,-0.094583,-0.655358,-27.688536,43.034027,-32.592808,-5294.000000,4006.000000,-2230.000000,66.814031,-92.393813,122.584465,0.626076,-0.345364,-0.623656,0.315922,1212.419189,87493.648438,0.081691,0.534180,0.355469,0.422066,21.000000,22.641047,0,202
101,22352,22211,0,0,-0.217462,-0.350405,9.902213,0.510365,-0.379179,-0.029393,-27.847418,43.239986,-33.235897,-5320.000000,4042.000000,-2274.000000,66.033593,-92.384831,121.823800,0.625818,-0.345432,-0.623801,0.316071,1212.406982,87494.843750,-0.081303,0.534180,0.343262,0.347436,21.000000,22.678461,0,202
101,24425,24306,0,0,-0.216333,-0.345779,9.900721,0.086002,-0.680903,0.025991,-27.951303,43.234264,-32.914352,-5337.000000,4041.000000,-2252.000000,65.290140,-92.344895,121.213359,0.625250,-0.345924,-0.623609,0.317033,1212.458496,87492.648438,0.079730,0.534180,0.394775,0.354509,21.125000,22.687815,0,202
101,26513,26324,0,0,-0.225059,-0.351973,9.899588,0.004591,0.034058,-0.340233,-27.816862,43.131287,-32.358959,-5315.000000,4023.000000,-2214.000000,65.360088,-92.383971,121.305348,0.625217,-0.346281,-0.623506,0.316912,1212.432617,87493.468750,0.047261,0.534180,0.368896,0.494004,21.125000,22.720552,0,202
