checksum,uptime mp,uptime nav, errorflag mp, errorflag nav,accel x, accel y, accel z, gyro x, gyro y, gyro z, mag x, mag y, mag z, magraw x, magraw y, magraw z, euler x, euler y, euler z, quat w, quat x, quat y, quat z, altitude, pressure, verticalvel,maxrecorded alt,altitudeagl,filteredalt,imutemp, barotemp, state,checksum2
101,866775,866649,0,0,-0.174704,0.482779,9.891590,0.701804,-0.057530,-0.456480,-18.864384,41.460732,-0.716165,-3850.000000,3731.000000,-49.000000,5.561071,-87.007649,70.897534,0.609550,-0.370123,-0.580544,0.392972,1213.911621,87479.671875,0.139215,1.458862,0.929565,1.025651,33.375000,37.114132,0,202
101,868863,868749,0,0,-0.178934,0.493744,9.894636,-0.004888,-0.204485,-0.256221,-18.772718,41.117462,0.876937,-3835.000000,3671.000000,60.000000,5.496568,-87.043658,70.728986,0.609749,-0.369752,-0.581046,0.392268,1213.827271,87479.070312,-0.100595,1.458862,0.845215,0.752261,33.375000,37.114132,0,202
101,870951,870798,0,0,-0.170998,0.495133,9.891588,0.918910,-0.015187,0.617111,-19.127153,41.220444,0.847705,-3893.000000,3689.000000,58.000000,5.853432,-86.968614,70.947238,0.610506,-0.368665,-0.581190,0.391901,1213.765747,87480.578125,-0.083933,1.458862,0.783691,0.785022,33.375000,37.114132,0,202
101,873039,872913,0,0,-0.184354,0.490244,9.888371,1.053259,-0.483696,-0.074894,-18.846048,41.123184,-0.029231,-3847.000000,3672.000000,-2.000000,3.123886,-86.980219,68.500432,0.610019,-0.370851,-0.579800,0.392655,1213.856689,87477.351562,0.095264,1.458862,0.874634,0.827143,33.500000,37.137466,0,202
101,875127,874937,0,0,-0.163376,0.499055,9.893775,-0.383508,0.241903,0.097910,-18.956045,41.128902,-0.423853,-3865.000000,3673.000000,-29.000000,6.623708,-86.961846,71.873090,0.609847,-0.369231,-0.580814,0.392951,1213.842285,87477.375000,-0.041946,1.458862,0.860229,0.856370,33.500000,37.142132,0,202
101,877252,877167,0,0,-0.170131,0.490072,9.883896,0.547907,-0.144211,0.414428,-18.882715,41.340588,0.306928,-3853.000000,3710.000000,21.000000,5.413605,-86.995546,70.855283,0.609275,-0.370646,-0.580114,0.393540,1213.831909,87477.734375,-0.031875,1.458862,0.849854,0.847568,33.375000,37.156132,0,202
101,879327,879190,0,0,-0.159193,0.510697,9.894394,-0.604729,-0.276184,0.300744,-18.729942,41.128902,-0.175387,-3828.000000,3673.000000,-12.000000,6.289770,-86.952167,71.806387,0.609043,-0.370631,-0.579834,0.394324,1213.790771,87479.609375,-0.069063,1.458862,0.808716,0.829318,33.500000,37.170132,0,202
101,881403,881321,0,0,-0.162947,0.491385,9.897676,-0.582959,-0.390232,-0.791819,-18.852160,41.174671,-0.643087,-3860.000000,3666.000000,-44.000000,6.199746,-86.936041,71.774934,0.608935,-0.370886,-0.579547,0.394674,1213.923706,87474.484375,0.165966,1.458862,0.941650,0.824509,33.500000,37.174801,0,202
101,883484,883353,0,0,-0.165255,0.499293,9.897115,-0.332235,0.541324,-0.375432,-19.035488,41.043091,0.511546,-3878.000000,3658.000000,35.000000,6.581314,-86.958178,71.686653,0.610366,-0.368497,-0.581251,0.392187,1213.764282,87480.898438,-0.068093,1.458862,0.782227,0.785731,33.500000,37.188801,0,202
101,885567,885454,0,0,-0.170499,0.492211,9.899113,0.234974,-0.218809,0.465653,-18.962156,40.928665,-0.730780,-3866.000000,3638.000000,-50.000000,5.392366,-87.031473,70.801761,0.609221,-0.370627,-0.580393,0.393229,1213.823975,87478.218750,-0.153092,1.458862,0.841919,0.792070,33.500000,37.198132,0,202
