Mach,CD Power-On
0.01,1.60612328121346
0.02,1.37995105669919
0.03,1.26834182108906
0.04,1.19688458141301
0.05,1.1453991461441
0.06,1.10568152566265
0.07,1.07364299886158
0.08,1.04697004695387
0.09,1.02423721711105
0.10,1.0045075745463
0.11,0.987134870422024
0.12,0.971656433395405
0.13,0.957729651435063
0.14,0.945095176136759
0.15,0.933551654850783
0.16,0.922940112549692
0.17,0.913133102613506
0.18,0.904026831307819
0.19,0.895535969737661
0.20,0.887588931214806
0.21,0.880126059039015
0.22,0.873096709131041
0.23,0.866457025114362
0.24,0.860169845588977
0.25,0.854202687087641
0.26,0.849569677518914
0.27,0.847452973824935
0.28,0.846055318250435
0.29,0.84475144026038
0.30,0.843534682339657
0.31,0.842428487141298
0.32,0.843107612390094
0.33,0.843786368392923
0.34,0.844465250818801
0.35,0.845144082123466
0.36,0.845822861144397
0.37,0.846501763100759
0.38,0.847180610470054
0.39,0.847859081639553
0.40,0.848537816419004
0.41,0.849216525486834
0.42,0.8498949990717
0.43,0.850573588809501
0.44,0.851252117219709
0.45,0.851930583203024
0.46,0.852608985666886
0.47,0.853287323525429
0.48,0.853965627976475
0.49,0.854644009767691
0.50,0.855322179638216
0.51,0.856000280625782
0.52,0.856678632148976
0.53,0.857356768591789
0.54,0.858034833011086
0.55,0.858712824372631
0.56,0.859390741648414
0.57,0.860068616093664
0.58,0.860746558512993
0.59,0.860630726268412
0.60,0.860514671789958
0.61,0.86210945354276
0.62,0.863641734619209
0.63,0.865172508599555
0.64,0.866702239073049
0.65,0.868230813245254
0.66,0.869758197870754
0.67,0.871284424263956
0.68,0.872809282816396
0.69,0.874333125325575
0.70,0.87585577447129
0.71,0.877377405687736
0.72,0.87889752119395
0.73,0.880416937378673
0.74,0.881934836000012
0.75,0.883451712985691
0.76,0.884967391048122
0.77,0.886482045653852
0.78,0.887995499525828
0.79,0.889507751766637
0.80,0.891018833761089
0.81,0.892528856442391
0.82,0.894037851205583
0.83,0.895545640799273
0.84,0.897052256628575
0.85,0.898557809646841
0.86,0.900062154894681
0.87,0.901565467889409
0.88,0.903067747778779
0.89,0.904568961438328
0.90,0.906068819830696
0.91,0.912230087805544
0.92,0.930713891730091
0.93,0.963580654286966
0.94,1.0015884735139
0.95,1.03959629274083
0.96,1.07760411196776
0.97,1.1156119311947
0.98,1.15361975042163
0.99,1.19162756964856
1.00,1.2296353888755
1.01,1.26764320810243
1.02,1.30565102732936
1.03,1.34365884655629
1.04,1.38166666578323
1.05,1.41967448501016
1.06,1.47769349996663
1.07,1.53886152588478
1.08,1.60314923419865
1.09,1.67053352267617
1.10,1.74099640561262
1.11,1.81452426399928
1.12,1.89110715160877
1.13,1.97073825952801
1.14,2.05341354672817
1.15,2.13913132534518
1.16,2.22700040024025
1.17,2.18512341156679
1.18,2.14423963277506
1.19,2.10635353442054
1.20,2.07078160419635
1.21,2.03735908307008
1.22,2.00599664569472
1.23,1.97646842869488
1.24,1.9485841908349
1.25,1.92218078642571
1.26,1.89711716743508
1.27,1.87327090931634
1.28,1.85053477636217
1.29,1.82881462298057
1.30,1.80802697531973
1.31,1.78809833817052
1.32,1.76896271413907
1.33,1.75056150426079
1.34,1.73284175020026
1.35,1.71575617005359
1.36,1.69926171343779
1.37,1.6833195873052
1.38,1.66789450113308
1.39,1.65295437600529
1.40,1.63846975523702
1.41,1.62441372470389
1.42,1.61076171855654
1.43,1.59749124734458
1.44,1.58458115124339
1.45,1.5720124955714
1.46,1.55976724038918
1.47,1.54782882114105
1.48,1.53618230620245
1.49,1.52481320273201
1.50,1.51370825098141
1.51,1.50285530957462
1.52,1.49224270760983
1.53,1.48185980480466
1.54,1.47169632633083
1.55,1.46174312680372
1.56,1.45199108646781
1.57,1.44243214776845
1.58,1.43305818656405
1.59,1.42386213734719
1.60,1.41483680664493
1.61,1.40597582530518
1.62,1.39727288994179
1.63,1.38872233430754
1.64,1.3803183754019
1.65,1.37205602084687
1.66,1.36393025880123
1.67,1.35593616312973
1.68,1.34806964970464
1.69,1.34032613631302
1.70,1.33270184026975
1.71,1.32519271691269
1.72,1.31779515999688
1.73,1.31050584623874
1.74,1.30332132365506
1.75,1.29623852669998
1.76,1.28925429023847
1.77,1.2823657740888
1.78,1.27557029271447
1.79,1.2688652089093
1.80,1.2622478740415
1.81,1.2557160406251
1.82,1.24926731105086
1.83,1.24289945035128
1.84,1.23661035445891
1.85,1.23039794105191
1.86,1.22426026235095
1.87,1.21819549362329
1.88,1.21220181168336
1.89,1.20627746005722
1.90,1.20042081331194
1.91,1.19463017505588
1.92,1.18890408214212
1.93,1.1832409682475
1.94,1.17763944155551
1.95,1.17209816500452
1.96,1.16661565477668
1.97,1.16119081571262
1.98,1.15555196401713
1.99,1.14996813673511
2.00,1.14443836685114
2.01,1.13912306871186
2.02,1.13385106025048
2.03,1.12863901646914
2.04,1.12348567179745
2.05,1.1183898150034
2.06,1.11335039930924
2.07,1.10836642188658
2.08,1.10343666442529
2.09,1.09856025117381
2.10,1.09373610035267
2.11,1.08896321062914
2.12,1.08424086779378
2.13,1.07956802487085
2.14,1.07494381368928
2.15,1.07036738018434
2.16,1.0658380142682
2.17,1.06135476542108
2.18,1.05691706865867
2.19,1.05252408188282
2.20,1.04817500733411
2.21,1.04386922413026
2.22,1.03960605810121
2.23,1.03538479065458
2.24,1.03120486455668
2.25,1.02706558539098
2.26,1.02296633225138
2.27,1.01890650483587
2.28,1.01458233120718
2.29,1.01018516621197
2.30,1.00582349289147
2.31,1.0014968233361
2.32,0.997204563621173
2.33,0.992946115338588
2.34,0.988720966056424
2.35,0.984528729925639
2.36,0.980368876897821
2.37,0.976240712523753
2.38,0.97214397710008
2.39,0.96807819298345
2.40,0.964042819053905
2.41,0.960037463094467
2.42,0.956061739187752
2.43,0.952115124453221
2.44,0.948197333804756
2.45,0.944307960392555
2.46,0.941266511943551
2.47,0.938252724836629
2.48,0.935266172063878
2.49,0.932306417498895
2.50,0.929373186873475
2.51,0.926466132052637
2.52,0.923584775955101
2.53,0.920728926511866
2.54,0.917898275894128
2.55,0.915092357518525
2.56,0.912310935675916
2.57,0.909553773955482
2.58,0.906820463377582
2.59,0.904110774338467
2.60,0.901424280908771
2.61,0.898760939983271
2.62,0.896120378455638
2.63,0.893502197349012
2.64,0.890906307090734
2.65,0.888332287891627
2.66,0.885779910266431
2.67,0.883249073719448
2.68,0.880739389271775
2.69,0.878250772621319
2.70,0.875782743440208
2.71,0.873335215347639
2.72,0.870907949665587
2.73,0.86850077562118
2.74,0.86611330113661
2.75,0.863745494981838
2.76,0.861397011063103
2.77,0.859067784303514
2.78,0.856757387063091
2.79,0.854465841307329
2.80,0.85219285613408
2.81,0.849938247890389
2.82,0.847701823161856
2.83,0.845483408131769
2.84,0.843282756439124
2.85,0.841099755295282
2.86,0.838934192440536
2.87,0.836785874629442
2.88,0.834654666847538
2.89,0.832540381663612
2.90,0.830442881736897
2.91,0.828361967616266
2.92,0.826297470555716
2.93,0.824249242939524
2.94,0.822217169616557
2.95,0.820201011824348
2.96,0.818200703085015
2.97,0.816216021997029
2.98,0.814246874909298
2.99,0.812293062817378
3.00,0.810354506137721
3.01,0.808437096284544
3.02,0.806531614593131
3.03,0.804637979932813
3.04,0.802756102285923
3.05,0.800885875747908
3.06,0.799027155424905
3.07,0.797179914476731
3.08,0.7953440231296
3.09,0.793519407351801
3.10,0.791705964209261
3.11,0.789903579109089
3.12,0.788112219818138
3.13,0.786331757063766
3.14,0.784562138352302
3.15,0.782803227363696
3.16,0.781054933584938
3.17,0.779317251114152
3.18,0.777590045155461
3.19,0.775873237680481
3.20,0.774166737881992
3.21,0.77247050143646
3.22,0.770784414890316
3.23,0.769108407662159
3.24,0.767442428010073
3.25,0.765786358287846
3.26,0.764140176873353
3.27,0.762503758227675
3.28,0.760877070750703
3.29,0.759260011817364
3.30,0.757652514547404
3.31,0.756054532662154
3.32,0.754465962243793
3.33,0.752886758331024
3.34,0.751316849589611
3.35,0.74975617022905
3.36,0.748204642379903
3.37,0.746662194241059
3.38,0.745128783308269
3.39,0.743604321241604
3.40,0.742088767505034
3.41,0.740582044177191
3.42,0.73908409271395
3.43,0.737594862929447
3.44,0.736114283271814
3.45,0.734642246404987
3.46,0.733178781608648
3.47,0.731723768655153
3.48,0.730277161434722
3.49,0.728838912329881
3.50,0.727408941256784
3.51,0.725987223420472
3.52,0.724573666876718
3.53,0.723168239802865
3.54,0.721770884731686
3.55,0.720381530859897
3.56,0.719000129096495
3.57,0.717626639319252
3.58,0.716261004023765
3.59,0.714903143270104
3.60,0.713553046351861
3.61,0.712210634077741
3.62,0.710875845177245
3.63,0.709548661486306
3.64,0.708229018305448
3.65,0.706916834748971
3.66,0.705612096904826
3.67,0.704314767814969
3.68,0.703024759001666
