height,pressure,temperature,wind_u,wind_v
140.0,100000.0,293.84999999999997,-1.0958774260796715,-1.4026591414199654
369.0,97500.0,292.34999999999997,-1.131306193048309,-1.3482382198894016
591.0,95000.0,290.84999999999997,-1.0798831842733858,-1.2869546644398835
818.0,92500.0,289.84999999999997,-1.6928215266023223,-2.329968943799849
1050.0,90000.0,289.15,-3.2821611290677013,-5.921175417333708
1534.0,85000.0,287.65,-8.74056709598754,-7.3342066265234145
2042.0,80000.0,284.84999999999997,-10.460416593971436,-5.32984846694228
3144.0,70000.0,278.75,-8.454846396581553,0.29524974210315813
4386.0,60000.0,271.34999999999997,-7.717747352049657,2.0679641703691423
5808.0,50000.0,261.75,-7.672381752187419,-0.9420500245217901
7472.84,40000.0,247.64999999999998,-2.660704215517025,-1.0213486562041063
9480.65,30000.0,230.64999999999998,-7.337784138980774,-5.331212238292731
10689.52,25000.0,221.64999999999998,-4.6641626037727955,-0.6555053055219084
12111.63,20000.0,218.64999999999998,-5.350890923779454,-4.651458515542697
13952.24,15000.0,214.64999999999998,11.414062202472776,-9.577535384329433
16416.67,10000.0,203.64999999999998,3.0540619024523483,-10.650779590996574
18546.45,7000.0,206.64999999999998,-2.33,-1.4267135210066664e-16
20593.1,5000.0,209.64999999999998,-2.0265042126296886,-3.6559103758426734
23785.05,3000.0,212.64999999999998,-9.674446396435144,-4.307341050172724
