Mach,CD Power-Off
0.01,1.64512917426766
0.02,1.41895694975339
0.03,1.30734771414326
0.04,1.23589047446721
0.05,1.1844050391983
0.06,1.14468741871685
0.07,1.11264889191578
0.08,1.08597594000807
0.09,1.06324311016526
0.10,1.0435134676005
0.11,1.02614076347623
0.12,1.01066232644961
0.13,0.996735544489266
0.14,0.984101069190962
0.15,0.972557547904986
0.16,0.961946005603894
0.17,0.952138995667709
0.18,0.943032724362022
0.19,0.934541862791864
0.20,0.926594824269009
0.21,0.919131952093218
0.22,0.912102602185244
0.23,0.905462918168564
0.24,0.89917573864318
0.25,0.893208580141843
0.26,0.888575570573117
0.27,0.886458866879138
0.28,0.885061211304638
0.29,0.883757333314582
0.30,0.88254057539386
0.31,0.881434380195501
0.32,0.882113505444297
0.33,0.882792261447126
0.34,0.883471143873004
0.35,0.884149975177669
0.36,0.8848287541986
0.37,0.885507656154962
0.38,0.886186503524257
0.39,0.886864974693756
0.40,0.887543709473207
0.41,0.888222418541037
0.42,0.888900892125903
0.43,0.889579481863704
0.44,0.890258010273912
0.45,0.890936476257227
0.46,0.891614878721089
0.47,0.892293216579632
0.48,0.892971521030678
0.49,0.893649902821894
0.50,0.894328072692419
0.51,0.895006173679985
0.52,0.895684525203179
0.53,0.896362661645992
0.54,0.897040726065289
0.55,0.897718717426834
0.56,0.898396634702617
0.57,0.899074509147866
0.58,0.899752451567196
0.59,0.900430316853612
0.60,0.901107959906156
0.61,0.903496439189955
0.62,0.905822417797401
0.63,0.908146889308745
0.64,0.910470317313236
0.65,0.912792589016439
0.66,0.915113671172936
0.67,0.917433595097136
0.68,0.919752151180573
0.69,0.922069691220749
0.70,0.924386037897461
0.71,0.926701366644905
0.72,0.929015179682116
0.73,0.931328293397837
0.74,0.933639889550173
0.75,0.93595046406685
0.76,0.938259839660278
0.77,0.940568191797005
0.78,0.942875343199979
0.79,0.945181292971785
0.80,0.947486072497234
0.81,0.949789792709534
0.82,0.952092485003723
0.83,0.95439397212841
0.84,0.95669428548871
0.85,0.958993536037973
0.86,0.961291578816811
0.87,0.963588589342537
0.88,0.965884566762904
0.89,0.96817947795345
0.90,0.970473033876816
0.91,0.977072250507178
0.92,0.996869900398266
0.93,1.03252504060352
0.94,1.07413884617739
0.95,1.11575265175126
0.96,1.15736645732513
0.97,1.198980262899
0.98,1.24059406847288
0.99,1.28220787404675
1.00,1.32382167962062
1.01,1.36543548519449
1.02,1.40704929076836
1.03,1.44866309634224
1.04,1.49027690191611
1.05,1.53189070748998
1.06,1.58943433069448
1.07,1.65012696486066
1.08,1.71393928142256
1.09,1.7808481781481
1.10,1.85083566933259
1.11,1.92388813596728
1.12,1.9999956318248
1.13,2.07915134799206
1.14,2.16135124344026
1.15,2.24659363030529
1.16,2.33398731344839
1.17,2.29163493302296
1.18,2.25027576247926
1.19,2.21191427237276
1.20,2.17617595508138
1.21,2.14275343395511
1.22,2.11139099657975
1.23,2.08186277957991
1.24,2.05397854171993
1.25,2.02757513731074
1.26,2.00251151832011
1.27,1.97866526020137
1.28,1.9559291272472
1.29,1.9342089738656
1.30,1.91342132620476
1.31,1.89349268905555
1.32,1.8743570650241
1.33,1.85595585514582
1.34,1.83823610108529
1.35,1.82115052093862
1.36,1.80465606432283
1.37,1.78871393819024
1.38,1.77328885201811
1.39,1.75834872689032
1.40,1.74386410612205
1.41,1.72980807558892
1.42,1.71615606944157
1.43,1.70288559822961
1.44,1.68997550212842
1.45,1.67740684645643
1.46,1.66516159127421
1.47,1.65322317202609
1.48,1.64157665708748
1.49,1.63020755361704
1.50,1.61910260186644
1.51,1.60824966045966
1.52,1.59763705849486
1.53,1.58725415568969
1.54,1.57709067721586
1.55,1.56713747768876
1.56,1.55738543735284
1.57,1.54782649865348
1.58,1.53845253744908
1.59,1.52925648823222
1.60,1.52023115752996
1.61,1.51137017619021
1.62,1.50266724082682
1.63,1.49411668519257
1.64,1.48571272628694
1.65,1.4774503717319
1.66,1.46932460968626
1.67,1.46133051401476
1.68,1.45346400058967
1.69,1.44572048719805
1.70,1.43809619115478
1.71,1.43058706779772
1.72,1.42318951088191
1.73,1.41590019712377
1.74,1.4087156745401
1.75,1.40163287758501
1.76,1.3946486411235
1.77,1.38776012497383
1.78,1.3809646435995
1.79,1.37425955979433
1.80,1.36764222492653
1.81,1.36111039151013
1.82,1.35466166193589
1.83,1.34829380123631
1.84,1.34200470534394
1.85,1.33579229193694
1.86,1.32965461323598
1.87,1.32358984450832
1.88,1.31759616256839
1.89,1.31167181094225
1.90,1.30581516419697
1.91,1.30002452594091
1.92,1.29429843302716
1.93,1.28863531913253
1.94,1.28303379244054
1.95,1.27749251588955
1.96,1.27201000566171
1.97,1.26658516659765
1.98,1.26121669396212
1.99,1.25590324574006
2.00,1.25064385491605
2.01,1.24559893583672
2.02,1.2405973064353
2.03,1.23565564171392
2.04,1.23077267610219
2.05,1.2259471983681
2.06,1.2211781617339
2.07,1.2164645633712
2.08,1.21180518496987
2.09,1.20719915077834
2.10,1.20264537901716
2.11,1.19814286835359
2.12,1.19369090457819
2.13,1.18928844071522
2.14,1.18493460859361
2.15,1.18062855414862
2.16,1.17636956729245
2.17,1.17215669750528
2.18,1.16798937980283
2.19,1.16386677208695
2.20,1.15978807659819
2.21,1.1557526724543
2.22,1.15175988548521
2.23,1.14780899709853
2.24,1.14389945006059
2.25,1.14003054995485
2.26,1.13620167587521
2.27,1.13241222751966
2.28,1.12835843295093
2.29,1.12423164701568
2.30,1.12014035275514
2.31,1.11608406225973
2.32,1.11206218160476
2.33,1.10807411238213
2.34,1.10411934215992
2.35,1.1001974850891
2.36,1.09630801112124
2.37,1.09245022580713
2.38,1.08862386944341
2.39,1.08482846438674
2.40,1.08106346951716
2.41,1.07732849261768
2.42,1.07362314777092
2.43,1.06994691209635
2.44,1.06629950050784
2.45,1.06268050604151
2.46,1.05908933186089
2.47,1.05552581902236
2.48,1.051989540518
2.49,1.04848006022141
2.50,1.04499710386438
2.51,1.04154032331193
2.52,1.03810924148278
2.53,1.03470366630794
2.54,1.03132328995859
2.55,1.02796764585138
2.56,1.02463649827716
2.57,1.02132961082512
2.58,1.01804657451561
2.59,1.01478715974488
2.60,1.01155094058358
2.61,1.00833787392647
2.62,1.00514758666722
2.63,1.00197967982899
2.64,0.9988340638391
2.65,0.995710318908384
2.66,0.992608215551578
2.67,0.989527653272986
2.68,0.986468243093702
2.69,0.983429900711637
2.70,0.980412145798916
2.71,0.977414891974738
2.72,0.974437900561076
2.73,0.971481000785059
2.74,0.96854380056888
2.75,0.965626268682497
2.76,0.962728059032153
2.77,0.959849106540954
2.78,0.956988983568922
2.79,0.954147712081549
2.80,0.951325001176691
2.81,0.94852066720139
2.82,0.945734516741247
2.83,0.94296637597955
2.84,0.940215998555296
2.85,0.937483271679844
2.86,0.934767983093488
2.87,0.932069939550785
2.88,0.929389006037271
2.89,0.926724995121735
2.90,0.92407776946341
2.91,0.921447129611169
2.92,0.918832906819009
2.93,0.916234953471208
2.94,0.913653154416631
2.95,0.911087270892812
2.96,0.90853723642187
2.97,0.906002829602275
2.98,0.903483956782933
2.99,0.900980418959404
3.00,0.898492136512483
3.01,0.896292847314339
3.02,0.89410548627796
3.03,0.891929972272674
3.04,0.889766215280818
3.05,0.887614109397837
3.06,0.885473509729867
3.07,0.883344389436726
3.08,0.881226618744628
3.09,0.879120123621863
3.10,0.877024801134356
3.11,0.874940536689218
3.12,0.8728672980533
3.13,0.870804955953961
3.14,0.868753457897531
3.15,0.866712667563958
3.16,0.864682494440234
3.17,0.86266293262448
3.18,0.860653847320823
3.19,0.858655160500876
3.20,0.856666781357421
3.21,0.854688665566922
3.22,0.852720699675811
3.23,0.850762813102688
3.24,0.848814954105636
3.25,0.846877005038442
3.26,0.844948944278982
3.27,0.843030646288337
3.28,0.841122079466399
3.29,0.839223141188093
3.30,0.837333764573167
3.31,0.835453903342949
3.32,0.833583453579622
3.33,0.831722370321886
3.34,0.829870582235507
3.35,0.828028023529979
3.36,0.826194616335866
3.37,0.824370288852055
3.38,0.822554998574298
3.39,0.820748657162667
3.40,0.81895122408113
3.41,0.817162621408321
3.42,0.815382790600113
3.43,0.813611681470644
3.44,0.811849222468044
3.45,0.81009530625625
3.46,0.808349962114944
3.47,0.806613069816483
3.48,0.804884583251085
3.49,0.803164454801277
3.50,0.801452604383214
3.51,0.799749007201935
3.52,0.798053571313215
3.53,0.796366264894394
3.54,0.794687030478249
3.55,0.793015797261493
3.56,0.791352516153125
3.57,0.789697147030916
3.58,0.788049632390462
3.59,0.786409892291834
3.60,0.784777916028625
3.61,0.783153624409538
3.62,0.781536956164074
3.63,0.779927893128169
3.64,0.778326370602345
3.65,0.776732307700901
3.66,0.77514569051179
3.67,0.773566482076966
3.68,0.771994593918696
3.69,0.770429991896295
3.70,0.768872645146877
