Mach,CD Power-On
0.01,1.02455532659524
0.02,0.884769279877829
0.03,0.815556485856825
0.04,0.771168565471386
0.05,0.739153085525492
0.06,0.714437671514822
0.07,0.694490217886328
0.08,0.677877061106897
0.09,0.663713509117848
0.10,0.65141826808824
0.11,0.640589590870831
0.12,0.630940182235502
0.13,0.622257074936927
0.14,0.614378802023141
0.15,0.607180157831018
0.16,0.60056236143292
0.17,0.594445858509581
0.18,0.588766199231129
0.19,0.583470075101589
0.20,0.578513053567519
0.21,0.573858082109024
0.22,0.569473332821324
0.23,0.565331574530103
0.24,0.561409910733894
0.25,0.557687717327523
0.26,0.554582989055486
0.27,0.55257964752127
0.28,0.551062313082174
0.29,0.549626539463743
0.30,0.548265953273119
0.31,0.547844664788263
0.32,0.548107136291
0.33,0.548369676518668
0.34,0.548632451171688
0.35,0.548895292506922
0.36,0.549158199512616
0.37,0.549421171183347
0.38,0.549684206519976
0.39,0.549947304529592
0.40,0.550210630950465
0.41,0.55047385135199
0.42,0.550737298209647
0.43,0.55100080382994
0.44,0.55126453397536
0.45,0.551528154239326
0.46,0.551791997121146
0.47,0.552055894950964
0.48,0.552319846789716
0.49,0.552583851704081
0.50,0.552848075491438
0.51,0.553112183779824
0.52,0.553376509102876
0.53,0.5536408838248
0.54,0.553905307040322
0.55,0.554169944574643
0.56,0.554434628808396
0.57,0.554699192127606
0.58,0.554964133823643
0.59,0.554243002627835
0.60,0.553522081332472
0.61,0.553577640669721
0.62,0.553605064926923
0.63,0.553632029596567
0.64,0.553658533826244
0.65,0.553684576768601
0.66,0.553710157581313
0.67,0.553735275427037
0.68,0.553760096198374
0.69,0.553784452342834
0.70,0.553808176312797
0.71,0.553831767465468
0.72,0.553854724812858
0.73,0.553877380996727
0.74,0.55389956848856
0.75,0.553921286489528
0.76,0.553942534205452
0.77,0.553963477571766
0.78,0.553983949078485
0.79,0.554003947945169
0.80,0.554023640120888
0.81,0.554042858109189
0.82,0.55406160114306
0.83,0.5540800351849
0.84,0.554097992751485
0.85,0.554115639813933
0.86,0.554132642172672
0.87,0.554149332532411
0.88,0.554165710152106
0.89,0.554181607569924
0.90,0.554197190778221
0.91,0.557965731675513
0.92,0.569271354367389
0.93,0.581927835460733
0.94,0.590282363609606
0.95,0.59863689175848
0.96,0.606991419907353
0.97,0.615345948056226
0.98,0.6237004762051
0.99,0.632055004353973
1.00,0.640409532502847
1.01,0.64876406065172
1.02,0.657118588800594
1.03,0.665473116949467
1.04,0.673827645098341
1.05,0.682182173247214
1.06,0.679821302092621
1.07,0.677495344649002
1.08,0.675203311105067
1.09,0.67294423463205
1.10,0.670717213485669
1.11,0.668521378518217
1.12,0.666355892696947
1.13,0.664219908008497
1.14,0.662112671624156
1.15,0.660033429551294
1.16,0.65703100885264
1.17,0.65402436921696
1.18,0.651047661755913
1.19,0.648100358633096
1.20,0.644797884138022
1.21,0.641316782046946
1.22,0.637863290161807
1.23,0.634436600695182
1.24,0.631036402821856
1.25,0.627662072285789
1.26,0.624312969638214
1.27,0.620988749146463
1.28,0.617688889547773
1.29,0.614412960339134
1.30,0.611160301787515
1.31,0.607971701976278
1.32,0.604868996079278
1.33,0.601825931790202
1.34,0.598834812921115
1.35,0.595891719918016
1.36,0.592993693398385
1.37,0.590138839136837
1.38,0.58732559306877
1.39,0.584552678568701
1.40,0.58181891349868
1.41,0.579123412181046
1.42,0.576465357964733
1.43,0.573844170565595
1.44,0.571259104768533
1.45,0.568709599941459
1.46,0.566195142367452
1.47,0.563715140472588
1.48,0.561269398620048
1.49,0.558857280944163
1.50,0.556478432416259
1.51,0.554132615836875
1.52,0.551819389467254
1.53,0.549538563248987
1.54,0.547289653339101
1.55,0.545072584113655
1.56,0.542886919339429
1.57,0.540732617879106
1.58,0.53860924387521
1.59,0.53651671207117
1.60,0.5344546901027
1.61,0.532423109497736
1.62,0.530421696050513
1.63,0.528450374364449
1.64,0.526508777027434
1.65,0.524596979712868
1.66,0.522714701311121
1.67,0.520861708655294
1.68,0.519038114681184
1.69,0.517243546676451
1.70,0.515478020123097
1.71,0.513741298870223
1.72,0.51203329998702
1.73,0.51035400828254
1.74,0.508703230943978
1.75,0.507081002437152
1.76,0.505487019377582
1.77,0.503921290630557
1.78,0.502383753420616
1.79,0.500874347822032
1.80,0.499392878061751
1.81,0.497939417479985
1.82,0.496513882033404
1.83,0.495116126134992
1.84,0.493746091799024
1.85,0.492403733935528
1.86,0.491088998948842
1.87,0.489801867299549
1.88,0.488542278812955
1.89,0.487310196568823
1.90,0.486105606836002
1.91,0.484928359113436
1.92,0.483778549824167
1.93,0.482656021248721
1.94,0.481560777204156
1.95,0.480492876395431
1.96,0.479452112572917
1.97,0.478438675394175
1.98,0.477116575443604
1.99,0.475821578152257
2.00,0.474553770806435
2.01,0.473429524737749
2.02,0.472326386294627
2.03,0.471256705093814
2.04,0.470220251479741
2.05,0.469216908347823
2.06,0.468246542980054
2.07,0.467309156047831
2.08,0.46640443367749
2.09,0.465532482764969
2.10,0.464692999309679
2.11,0.463885886491438
2.12,0.463111286467321
2.13,0.462368897970449
2.14,0.461658647711913
2.15,0.460980455707184
2.16,0.460334373702916
2.17,0.459720126661712
2.18,0.459137869470979
2.19,0.458587429965922
2.20,0.458068671237683
2.21,0.457581630091279
2.22,0.457126271755747
2.23,0.45670245779544
2.24,0.455411975573945
2.25,0.45275687364684
2.26,0.450118884177336
2.27,0.447497768383658
