0.14, 0, 0, 5, 0.09025912, 0, 746.3619, -1038.923, -6.40977, 0.002481291, 0.05620746, 36.20489, 0.872834, 0.675086, 0.3350182
 
0.15, -1, 0, 5, 0.09084933, 0.9221557533348574410361784853, 861.8875, -1040.528, -6.40977, 0.002481291, 0.05620746, 38.90673, 0.8563914, 0.6746678, 0.3355307
 
0.16, -0.9926023, -0.01, 5, 0.0914593, 0.8550029597196157936234616909, 986.5328, -1042.136, -6.40977, 0.002481291, 0.05620746, 41.6258, 0.8575121, 0.6742496, 0.3360433
 
0.17, -0.9160472, -0.01992602, 5, 0.09207564, 0.7943960954646173229943200370, 1120.471, -1043.747, -6.40977, 0.002481291, 0.05620746, 44.36241, 0.8585333, 0.6738314, 0.3365558
 
0.18, -0.8479535, -0.02908649, 5, 0.09269375, 0.7390680826247843769452987974, 1263.901, -1045.362, -6.40977, 0.002481291, 0.05620746, 47.11724, 0.8594739, 0.6734132, 0.3370683
 
0.19, -0.7862884, -0.03756603, 5, 0.0933273, 0.6880931144791397481435166239, 1416.997, -1046.98, -6.40977, 0.002481291, 0.05620746, 49.89038, 0.8603474, 0.672995, 0.3375809
 
0.2, -0.7292997, -0.04542891, 5, 0.09396271, 0.6407582614156788295528538936, 1579.909, -1048.602, -6.40977, 0.002481291, 0.05620746, 52.68148, 0.8611648, 0.6725768, 0.3380934
 
0.21, -0.6755406, -0.05272191, 5, 0.09461367, 0.5965023626789104070636155120, 1752.851, -1050.227, -6.40977, 0.002481291, 0.05620746, 55.49125, 0.8619343, 0.6721587, 0.3386059
 
0.22, -0.623694, -0.05947732, 5, 0.09525283, 0.5548707795490462665644493059, 1935.974, -1051.855, -6.40977, 0.002481291, 0.05620746, 58.31931, 0.862663, 0.6717404, 0.3391185
 
0.23, -0.5726554, -0.06571425, 5, 0.09589382, 0.5155087168444731991412114672, 2129.423, -1053.487, -6.40977, 0.002481291, 0.05620746, 61.16525, 0.8633562, 0.6713222, 0.339631
 
0.24, -0.5215238, -0.07144081, 5, 0.09654586, 0.4781335071569621513268315944, 2333.379, -1055.122, -6.40977, 0.002481291, 0.05620746, 64.02921, 0.8640183, 0.670904, 0.3401435
 
0.25, -0.4695508, -0.07665604, 5, 0.09719059, 0.4425152432088211787463736657, 2548.043, -1056.76, -6.40977, 0.002481291, 0.05620746, 66.91158, 0.8646529, 0.6704859, 0.3406561
 
0.26, -0.4161128, -0.08135155, 5, 0.09783719, 0.4084724368295035017145866417, 2773.598, -1058.402, -6.40977, 0.002481291, 0.05620746, 69.81237, 0.8652626, 0.6700676, 0.3411686
 
0.27, -0.3607103, -0.08551268, 5, 0.09849486, 0.3758620012092963123537856456, 3010.213, -1060.048, -6.40977, 0.002481291, 0.05620746, 72.73151, 0.8658497, 0.6696495, 0.3416811
 
0.28, -0.3030302, -0.08911978, 5, 0.0991591, 0.3445792508993124264719315338, 3258.108, -1061.696, -6.40977, 0.002481291, 0.05620746, 75.66947, 0.8664156, 0.6692312, 0.3421937
 
0.29, -0.2428733, -0.09215008, 5, 0.09982523, 0.3145447117788727025334381594, 3517.514, -1063.348, -6.40977, 0.002481291, 0.05620746, 78.62676, 0.8669615, 0.668813, 0.3427062
 
0.3, -0.1801172, -0.09457881, 5, 0.1004979, 0.2857026183935436682576441422, 3788.547, -1065.004, -6.40977, 0.002481291, 0.05620746, 81.60258, 0.8674882, 0.6683949, 0.3432187
 
0.31, -0.114872, -0.09637998, 5, 0.1011772, 0.2580249210536776922408708037, 4071.436, -1066.663, -6.40977, 0.002481291, 0.05620746, 84.5974, 0.8679958, 0.6679767, 0.3437313
 
0.32, -0.04733061, -0.0975287, 5, 0.1018492, 0.2314942556656786132587910975, 4366.384, -1068.325, -6.40977, 0.002481291, 0.05620746, 87.61136, 0.8684844, 0.6675584, 0.3442438
 
0.33, 0.02216861, -0.09800201, 5, 0.1025277, 0.2061119579290536998960160207, 4673.55, -1069.99, -6.40977, 0.002481291, 0.05620746, 90.64413, 0.8689538, 0.6671403, 0.3447563
 
0.3399999, 0.09312484, -0.09778032, 5, 0.1032129, 0.1818915518013140465717319175, 4993.135, -1071.66, -6.40977, 0.002481291, 0.05620746, 93.69584, 0.8694033, 0.6667221, 0.3452688
 
0.3499999, 0.1648759, -0.09684908, 5, 0.1039, 0.1588591335115827462953377322, 5325.384, -1073.332, -6.40977, 0.002481291, 0.05620746, 96.76696, 0.8698324, 0.6663039, 0.3457814
 
0.3599999, 0.236674, -0.09520032, 5, 0.1045844, 0.1370442888039461321408438644, 5670.488, -1075.008, -6.40977, 0.002481291, 0.05620746, 99.85744, 0.8702402, 0.6658857, 0.3462939
 
0.3699999, 0.3076241, -0.09283358, 5, 0.1052802, 0.1164849682406544727685102650, 6028.612, -1076.687, -6.40977, 0.002481291, 0.05620746, 102.967, 0.8706258, 0.6654675, 0.3468065
 
0.3799999, 0.3766657, -0.08975734, 5, 0.1059732, 0.0972253667791541835467764785, 6400.025, -1078.37, -6.40977, 0.002481291, 0.05620746, 106.0962, 0.8709882, 0.6650493, 0.347319
 
0.3899999, 0.4426952, -0.08599068, 5, 0.1066729, 0.0793062232544171232687163206, 6784.952, -1080.055, -6.40977, 0.002481291, 0.05620746, 109.2453, 0.8713263, 0.6646311, 0.3478315
 
0.3999999, 0.5045321, -0.08156373, 5, 0.1073747, 0.0627677255253684024362515706, 7183.517, -1081.745, -6.40977, 0.002481291, 0.05620746, 112.4136, 0.8716392, 0.6642129, 0.3483441
 
0.4099999, 0.5608744, -0.07651841, 5, 0.1080784, 0.0476512468842451645703926333, 7595.977, -1083.438, -6.40977, 0.002481291, 0.05620746, 115.6016, 0.8719259, 0.6637947, 0.3488566
 
0.4199999, 0.6104798, -0.07090966, 5, 0.1087841, 0.0339856384404047450236138601, 8022.573, -1085.134, -6.40977, 0.002481291, 0.05620746, 118.8095, 0.8721856, 0.6633765, 0.3493691
 
0.4299999, 0.6520525, -0.06480487, 5, 0.1094919, 0.0217979481088696665591647564, 8463.476, -1086.833, -6.40977, 0.002481291, 0.05620746, 122.037, 0.8724177, 0.6629583, 0.3498816
 
0.4399998, 0.6844231, -0.05828434, 5, 0.1102111, 0.0110995243265780590017312793, 8918.902, -1088.536, -6.40977, 0.002481291, 0.05620746, 125.2842, 0.8726219, 0.6625401, 0.3503942
 
0.4499998, 0.7064732, -0.05144011, 5, 0.1109277, 0.0018936579231911222890871811, 9389.132, -1090.242, -6.40977, 0.002481291, 0.05620746, 128.5515, 0.8727978, 0.662122, 0.3509067
 
0.4599998, 0.7172068, -0.04437538, 5, 0.111651, -0.0058340632989745716067201952, 9874.383, -1091.952, -6.40977, 0.002481291, 0.05620746, 131.8391, 0.8727224, 0.6617037, 0.3514192
 
0.4699998, 0.7157705, -0.03720331, 5, 0.1123716, -0.0121115137190113339607915924, 10374.84, -1093.665, -6.40977, 0.002481291, 0.05620746, 135.1466, 0.8726026, 0.6612856, 0.3519318
 
0.4799998, 0.70185, -0.03004561, 5, 0.1131039, -0.0169838700335037564761324548, 10890.78, -1095.382, -6.40977, 0.002481291, 0.05620746, 138.4746, 0.8725095, 0.6608673, 0.3524443
 
0.4899998, 0.6754007, -0.02302711, 5, 0.1138382, -0.0205131220565841741645391509, 11422.51, -1097.101, -6.40977, 0.002481291, 0.05620746, 141.8234, 0.8724422, 0.6604491, 0.3529568
 
0.4999998, 0.6367002, -0.0162731, 5, 0.1145746, -0.0227800712603204159663231776, 11970.16, -1098.825, -6.40977, 0.002481291, 0.05620746, 145.1926, 0.872399, 0.660031, 0.3534694
 
0.5099998, 0.5863953, -0.0099061, 5, 0.1153178, -0.0238839434218586968607739711, 12534.02, -1100.551, -6.40977, 0.002481291, 0.05620746, 148.5824, 0.872378, 0.6596128, 0.3539819
 
0.5199998, 0.5254463, -0.004042148, 5, 0.116068, -0.0239376218458070531048284111, 13114.36, -1102.281, -6.40977, 0.002481291, 0.05620746, 151.9933, 0.872377, 0.6591945, 0.3544945
 
0.5299998, 0.4552059, 0.001212315, 5, 0.1168155, -0.0230697010022277676819102292, 13711.37, -1104.015, -6.40977, 0.002481291, 0.05620746, 155.4249, 0.8723935, 0.6587763, 0.355007
 
