forecast_time_local,time_since_apogee_s,descent_speed_ms
08:00 Local,0.00,50.00
08:00 Local,3.97,50.00
08:00 Local,7.93,50.00
08:00 Local,11.90,50.00
08:00 Local,15.86,50.00
08:00 Local,19.83,50.00
08:00 Local,23.79,50.00
08:00 Local,27.76,50.00
08:00 Local,31.72,50.00
08:00 Local,35.69,50.00
08:00 Local,39.65,50.00
08:00 Local,43.62,50.00
08:00 Local,47.59,50.00
08:00 Local,51.55,50.00
08:00 Local,55.52,50.00
08:00 Local,59.48,50.00
08:00 Local,63.45,50.00
08:00 Local,67.41,50.00
08:00 Local,71.38,50.00
08:00 Local,75.34,50.00
08:00 Local,79.31,50.00
08:00 Local,83.27,50.00
08:00 Local,87.24,50.00
08:00 Local,91.21,50.00
08:00 Local,95.17,50.00
08:00 Local,99.14,50.00
08:00 Local,103.10,50.00
08:00 Local,107.07,50.00
08:00 Local,111.03,50.00
08:00 Local,115.00,50.00
08:00 Local,118.96,50.00
08:00 Local,122.93,50.00
08:00 Local,126.89,50.00
08:00 Local,130.86,50.00
08:00 Local,134.83,50.00
08:00 Local,138.79,50.00
08:00 Local,142.76,50.00
08:00 Local,146.72,50.00
08:00 Local,150.69,50.00
08:00 Local,154.65,50.00
08:00 Local,158.62,50.00
08:00 Local,162.58,50.00
08:00 Local,166.55,50.00
08:00 Local,170.51,50.00
08:00 Local,174.48,50.00
08:00 Local,178.45,50.00
08:00 Local,182.41,50.00
08:00 Local,186.38,50.00
08:00 Local,190.34,50.00
08:00 Local,194.31,50.00
08:00 Local,198.27,50.00
08:00 Local,202.24,50.00
08:00 Local,206.20,50.00
08:00 Local,210.17,50.00
08:00 Local,214.13,50.00
08:00 Local,218.10,50.00
08:00 Local,222.07,50.00
08:00 Local,226.03,50.00
08:00 Local,230.00,50.00
08:00 Local,233.96,50.00
08:00 Local,237.93,50.00
08:00 Local,241.89,50.00
08:00 Local,245.86,50.00
08:00 Local,249.82,50.00
08:00 Local,253.79,50.00
08:00 Local,257.75,50.00
08:00 Local,261.72,50.00
08:00 Local,265.69,50.00
08:00 Local,269.65,50.00
08:00 Local,273.62,50.00
08:00 Local,277.58,50.00
08:00 Local,281.55,50.00
08:00 Local,285.51,50.00
08:00 Local,289.48,50.00
08:00 Local,293.44,50.00
08:00 Local,297.41,50.00
08:00 Local,301.37,50.00
08:00 Local,305.34,50.00
08:00 Local,309.31,50.00
08:00 Local,313.27,50.00
08:00 Local,317.24,50.00
08:00 Local,321.20,50.00
08:00 Local,325.17,50.00
08:00 Local,329.13,50.00
08:00 Local,333.10,50.00
08:00 Local,337.06,50.00
08:00 Local,341.03,50.00
08:00 Local,344.99,50.00
08:00 Local,348.96,50.00
08:00 Local,352.93,50.00
08:00 Local,356.89,50.00
08:00 Local,360.86,50.00
