forecast_time_local,time_since_apogee_s,descent_speed_ms
08:00 Local,0.00,100.08
08:00 Local,1.91,100.08
08:00 Local,3.82,100.08
08:00 Local,5.73,100.08
08:00 Local,7.64,100.08
08:00 Local,9.55,100.08
08:00 Local,11.46,100.08
08:00 Local,13.37,100.08
08:00 Local,15.27,100.08
08:00 Local,17.18,100.08
08:00 Local,19.09,100.08
08:00 Local,21.00,100.08
08:00 Local,22.91,100.08
08:00 Local,24.82,100.08
08:00 Local,26.73,100.08
08:00 Local,28.64,100.08
08:00 Local,30.55,100.08
08:00 Local,32.46,100.08
08:00 Local,34.37,100.08
08:00 Local,36.28,100.08
08:00 Local,38.19,100.08
08:00 Local,40.10,100.08
08:00 Local,42.00,100.08
08:00 Local,43.91,100.08
08:00 Local,45.82,100.08
08:00 Local,47.73,100.08
08:00 Local,49.64,100.08
08:00 Local,51.55,100.08
08:00 Local,53.46,100.08
08:00 Local,55.37,100.08
08:00 Local,57.28,100.08
08:00 Local,59.19,100.08
08:00 Local,61.10,100.08
08:00 Local,63.01,100.08
08:00 Local,64.92,100.08
08:00 Local,66.83,99.77
08:00 Local,68.74,98.69
08:00 Local,70.68,97.21
08:00 Local,72.64,95.79
08:00 Local,74.64,94.44
08:00 Local,76.66,93.15
08:00 Local,78.71,91.91
08:00 Local,80.79,90.72
08:00 Local,82.90,89.57
08:00 Local,85.03,88.46
08:00 Local,87.19,87.39
08:00 Local,89.38,86.38
08:00 Local,91.59,85.41
08:00 Local,93.83,84.48
08:00 Local,96.09,83.57
08:00 Local,98.37,82.67
08:00 Local,100.69,81.80
08:00 Local,103.02,80.97
08:00 Local,105.38,80.18
08:00 Local,107.77,79.40
08:00 Local,110.17,78.59
08:00 Local,112.60,77.76
08:00 Local,115.06,76.96
08:00 Local,117.54,76.19
08:00 Local,120.05,75.45
08:00 Local,122.58,74.68
08:00 Local,125.14,73.90
08:00 Local,127.73,73.16
08:00 Local,130.34,72.44
08:00 Local,132.98,71.73
08:00 Local,135.64,71.02
08:00 Local,138.33,70.32
08:00 Local,141.05,69.65
08:00 Local,143.79,68.99
08:00 Local,146.56,68.34
08:00 Local,149.36,67.69
08:00 Local,152.18,67.05
08:00 Local,155.03,66.42
08:00 Local,157.91,65.79
08:00 Local,160.81,65.16
08:00 Local,163.75,64.54
08:00 Local,166.71,63.93
08:00 Local,169.69,63.32
08:00 Local,172.71,62.72
08:00 Local,175.76,62.12
08:00 Local,178.84,61.53
08:00 Local,181.94,60.95
08:00 Local,185.08,60.37
08:00 Local,188.24,59.78
08:00 Local,191.44,59.20
08:00 Local,194.66,58.60
08:00 Local,197.93,57.98
08:00 Local,201.22,57.35
08:00 Local,204.55,56.69
08:00 Local,207.92,56.04
08:00 Local,211.33,55.43
08:00 Local,214.78,9.06
08:00 Local,235.87,8.97
08:00 Local,257.17,8.87
08:00 Local,278.71,8.77
08:00 Local,300.49,8.69
08:00 Local,322.49,8.60
08:00 Local,344.70,8.53
08:00 Local,367.09,8.50
08:00 Local,389.57,8.50
09:00 Local,0.00,100.14
09:00 Local,1.91,100.14
09:00 Local,3.82,100.14
09:00 Local,5.72,100.14
09:00 Local,7.63,100.14
09:00 Local,9.54,100.14
09:00 Local,11.45,100.14
09:00 Local,13.36,100.14
09:00 Local,15.27,100.14
09:00 Local,17.17,100.14
09:00 Local,19.08,100.14
09:00 Local,20.99,100.14
09:00 Local,22.90,100.14
09:00 Local,24.81,100.14
09:00 Local,26.71,100.14
09:00 Local,28.62,100.14
09:00 Local,30.53,100.14
09:00 Local,32.44,100.14
09:00 Local,34.35,100.14
09:00 Local,36.26,100.14
09:00 Local,38.16,100.14
09:00 Local,40.07,100.14
09:00 Local,41.98,100.14
09:00 Local,43.89,100.14
09:00 Local,45.80,100.14
09:00 Local,47.70,100.14
09:00 Local,49.61,100.14
09:00 Local,51.52,100.14
09:00 Local,53.43,100.14
09:00 Local,55.34,100.14
09:00 Local,57.25,100.14
09:00 Local,59.15,100.14
09:00 Local,61.06,100.14
09:00 Local,62.97,100.14
09:00 Local,64.88,100.14
09:00 Local,66.79,99.81
09:00 Local,68.70,98.71
09:00 Local,70.64,97.23
09:00 Local,72.60,95.81
09:00 Local,74.60,94.46
09:00 Local,76.62,93.16
09:00 Local,78.67,91.93
09:00 Local,80.75,90.74
09:00 Local,82.86,89.58
09:00 Local,84.99,88.47
09:00 Local,87.15,87.40
09:00 Local,89.33,86.38
09:00 Local,91.55,85.41
09:00 Local,93.78,84.49
09:00 Local,96.05,83.57
09:00 Local,98.33,82.67
09:00 Local,100.64,81.79
09:00 Local,102.98,80.95
09:00 Local,105.34,80.15
09:00 Local,107.72,79.37
09:00 Local,110.13,78.56
09:00 Local,112.56,77.74
09:00 Local,115.02,76.94
09:00 Local,117.51,76.18
09:00 Local,120.01,75.45
09:00 Local,122.55,74.69
09:00 Local,125.10,73.91
09:00 Local,127.69,73.16
09:00 Local,130.30,72.44
09:00 Local,132.94,71.73
09:00 Local,135.60,71.01
09:00 Local,138.29,70.31
09:00 Local,141.01,69.63
09:00 Local,143.76,68.97
09:00 Local,146.53,68.32
09:00 Local,149.32,67.67
09:00 Local,152.15,67.03
09:00 Local,155.00,66.40
09:00 Local,157.88,65.78
09:00 Local,160.78,65.15
09:00 Local,163.71,64.53
09:00 Local,166.67,63.92
09:00 Local,169.66,63.31
09:00 Local,172.68,62.71
09:00 Local,175.73,62.12
09:00 Local,178.81,61.53
09:00 Local,181.91,60.96
09:00 Local,185.05,60.38
09:00 Local,188.21,59.80
09:00 Local,191.41,59.22
09:00 Local,194.63,58.62
09:00 Local,197.89,58.00
09:00 Local,201.19,57.36
09:00 Local,204.52,56.69
09:00 Local,207.89,56.04
09:00 Local,211.30,55.42
09:00 Local,214.75,9.06
09:00 Local,235.83,8.97
09:00 Local,257.14,8.87
09:00 Local,278.68,8.77
09:00 Local,300.46,8.68
09:00 Local,322.47,8.60
09:00 Local,344.68,8.53
09:00 Local,367.08,8.50
09:00 Local,389.56,8.50
10:00 Local,0.00,100.17
10:00 Local,1.91,100.17
10:00 Local,3.82,100.17
10:00 Local,5.72,100.17
10:00 Local,7.63,100.17
10:00 Local,9.54,100.17
10:00 Local,11.45,100.17
10:00 Local,13.35,100.17
10:00 Local,15.26,100.17
10:00 Local,17.17,100.17
10:00 Local,19.08,100.17
10:00 Local,20.98,100.17
10:00 Local,22.89,100.17
10:00 Local,24.80,100.17
10:00 Local,26.71,100.17
10:00 Local,28.61,100.17
10:00 Local,30.52,100.17
10:00 Local,32.43,100.17
10:00 Local,34.34,100.17
10:00 Local,36.25,100.17
10:00 Local,38.15,100.17
10:00 Local,40.06,100.17
10:00 Local,41.97,100.17
10:00 Local,43.88,100.17
10:00 Local,45.78,100.17
10:00 Local,47.69,100.17
10:00 Local,49.60,100.17
10:00 Local,51.51,100.17
10:00 Local,53.41,100.17
10:00 Local,55.32,100.17
10:00 Local,57.23,100.17
10:00 Local,59.14,100.17
10:00 Local,61.04,100.17
10:00 Local,62.95,100.17
10:00 Local,64.86,100.17
10:00 Local,66.77,99.82
10:00 Local,68.68,98.70
