Mach,CD Power-Off
0.01,1.87619906876229
0.02,1.66035917317821
0.03,1.55335950811599
0.04,1.48469981424238
0.05,1.43517730200614
0.06,1.39696486346162
0.07,1.36615301197479
0.08,1.34052792285181
0.09,1.31872247529054
0.10,1.29983725209392
0.11,1.2832525064493
0.12,1.26852298864008
0.13,1.25531957161767
0.14,1.24339267722351
0.15,1.23254876675497
0.16,1.22263499685261
0.17,1.21352899328265
0.18,1.20513053391436
0.19,1.19735785785066
0.20,1.19014283231939
0.21,1.18342756971894
0.22,1.17716409182158
0.23,1.17131071542699
0.24,1.1658318964873
0.25,1.16069709042537
0.26,1.15666839369468
0.27,1.15487777620673
0.28,1.15372474895835
0.29,1.15271944114069
0.30,1.15185410567034
0.31,1.15112233484899
0.32,1.15142215770472
0.33,1.15292632650934
0.34,1.15447226158488
0.35,1.15606134488719
0.36,1.15769484359643
0.37,1.159374069289
0.38,1.16110055581696
0.39,1.16287600184248
0.40,1.16470198936351
0.41,1.16658056707623
0.42,1.16851361884819
0.43,1.17050300632281
0.44,1.17255111338375
0.45,1.17466028875939
0.46,1.17683293116851
0.47,1.17907207453595
0.48,1.18138019718208
0.49,1.1837604997372
0.50,1.18621656613178
0.51,1.18875155807162
0.52,1.19136962804551
0.53,1.19407460442925
0.54,1.1968711730715
0.55,1.19976392901778
0.56,1.20275839147641
0.57,1.20585989070568
0.58,1.20907437364354
0.59,1.21240875951982
0.60,1.21587017861417
0.61,1.220874070295
0.62,1.22596988738048
0.63,1.23121771178728
0.64,1.23662759049522
0.65,1.24221103903418
0.66,1.24798057479405
0.67,1.25395007811987
0.68,1.26013483121658
0.69,1.26655210151146
0.70,1.27322081935182
0.71,1.27387075217796
0.72,1.27413324702258
0.73,1.27439490279557
0.74,1.27465580548212
0.75,1.27491561506497
0.76,1.27517465088683
0.77,1.27543287853764
0.78,1.27569027843271
0.79,1.27594680138996
0.80,1.27620236114686
0.81,1.29181252524088
0.82,1.30742169071398
0.83,1.32303000840802
0.84,1.33863747729997
0.85,1.35424411122692
0.86,1.36985006104821
0.87,1.38545500716245
0.88,1.40105925231118
0.89,1.41666255848361
0.90,1.43226495796608
0.91,1.44200435968025
0.92,1.47122256482276
0.93,1.4978741415556
0.94,1.50734998730752
0.95,1.51682583305945
0.96,1.52630167881137
0.97,1.53577752456329
0.98,1.54525337031521
0.99,1.55472921606714
1.00,1.56420506181906
1.01,1.57368090757098
1.02,1.5831567533229
1.03,1.59263259907482
1.04,1.60210844482675
1.05,1.61158429057867
1.06,1.63415516406531
1.07,1.66032885873777
1.08,1.68990370725518
1.09,1.72273108579643
1.10,1.75869736736517
1.11,1.79771379997013
1.12,1.83971021665473
1.13,1.8846300398789
1.14,1.93242750301291
1.15,1.98306565507396
1.16,2.03558037622198
1.17,2.09085094537849
1.18,2.14889211724546
1.19,2.20968838298673
1.20,2.27322750343951
1.21,2.33950029860716
1.22,2.40849998147864
1.23,2.48022193393227
1.24,2.55466369142289
1.25,2.63182449850687
1.26,2.71170476210534
1.27,2.79430661654836
1.28,2.87963320933385
1.29,2.96768876008713
1.30,3.05847847498365
1.31,3.15203826492905
1.32,3.20837018516516
1.33,3.16977785320714
1.34,3.13268249014785
1.35,3.09698151564103
1.36,3.06258223726154
1.37,3.02940160653331
1.38,2.99736416731542
1.39,2.96640154579787
1.40,2.93645121523994
1.41,2.90745575751988
1.42,2.87936307545697
1.43,2.85212529497667
1.44,2.82569767345032
1.45,2.80003997607266
1.46,2.77511394565824
1.47,2.75088475367141
1.48,2.72732049923159
1.49,2.70439058469366
1.50,2.68206713076558
1.51,2.66032427216058
1.52,2.63913732355438
1.53,2.61848385014894
1.54,2.59834216872898
1.55,2.57869280830394
1.56,2.55951683333781
1.57,2.54079675870228
1.58,2.5225157598775
1.59,2.50465879109539
1.60,2.4872108356626
1.61,2.4701581985572
1.62,2.45348769143024
1.63,2.43718727802356
1.64,2.42124495645487
1.65,2.4056499569557
1.66,2.39039170628528
1.67,2.37546009220418
1.68,2.36084617152161
1.69,2.34654041590959
1.70,2.33253489271078
1.71,2.31882108137792
1.72,2.30539125773223
1.73,2.29223850637384
1.74,2.27935542978583
1.75,2.26673556194832
1.76,2.25437252657051
1.77,2.24225997930033
1.78,2.23039240376207
1.79,2.21876419992113
1.80,2.20736989335677
1.81,2.1966092253806
1.82,2.18594482608911
1.83,2.17545459416057
1.84,2.16513408373906
1.85,2.15497889427645
1.86,2.14498489745437
1.87,2.13514824488794
1.88,2.1254651204128
1.89,2.11593176400047
1.90,2.10654481661494
1.91,2.09730073186656
1.92,2.08819632540814
1.93,2.07922844859212
1.94,2.07039409621014
1.95,2.06169039428529
1.96,2.05311439625171
1.97,2.04466360610746
1.98,2.03633535482443
1.99,2.02812693378745
2.00,2.02003617994347
2.01,2.01223163210471
2.02,2.004531301338
2.03,1.99695070952935
2.04,1.9894875124536
2.05,1.98213939115407
2.06,1.9749043116314
2.07,1.9677803033009
2.08,1.96076514484878
2.09,1.95385702039204
2.10,1.9470539990653
2.11,1.94035418929517
2.12,1.93375601546166
2.13,1.92725763910593
2.14,1.92085743112959
2.15,1.9145537063907
2.16,1.90834503301638
2.17,1.902229773081
2.18,1.89620667522423
2.19,1.89027416675425
2.20,1.88443087009428
2.21,1.87867545053193
2.22,1.87300664153958
2.23,1.86742314468681
2.24,1.86127480951767
2.25,1.8542007489861
2.26,1.84719806810572
