Mach,CD Power-On
0.01,1.84119100962223
0.02,1.62535111403815
0.03,1.51835144897593
0.04,1.44969175510231
0.05,1.40016924286608
0.06,1.36195680432156
0.07,1.33114495283473
0.08,1.30551986371175
0.09,1.28371441615048
0.10,1.26482919295386
0.11,1.24824444730924
0.12,1.23351492950002
0.13,1.22031151247761
0.14,1.20838461808345
0.15,1.19754070761491
0.16,1.18762693771255
0.17,1.17852093414259
0.18,1.1701224747743
0.19,1.1623497987106
0.20,1.15513477317933
0.21,1.14841951057888
0.22,1.14215603268152
0.23,1.13630265628693
0.24,1.13082383734724
0.25,1.12568903128531
0.26,1.12166033455462
0.27,1.11986971706667
0.28,1.11871668981829
0.29,1.11771138200063
0.30,1.11684604653028
0.31,1.11611427570893
0.32,1.11641409856466
0.33,1.11791826736928
0.34,1.11946420244482
0.35,1.12105328574713
0.36,1.12268678445637
0.37,1.12436601014894
0.38,1.1260924966769
0.39,1.12786794270242
0.40,1.12969393022345
0.41,1.13157250793617
0.42,1.13350555970813
0.43,1.13549494718275
0.44,1.13754305424369
0.45,1.13965222961933
0.46,1.14182487202845
0.47,1.14406401539589
0.48,1.14637213804202
0.49,1.14875244059714
0.50,1.15120850699172
0.51,1.15374349893156
0.52,1.15636156890545
0.53,1.15906654528919
0.54,1.16186311393144
0.55,1.16475586987772
0.56,1.16775033233635
0.57,1.17085183156562
0.58,1.17406631450348
0.59,1.17668835134917
0.60,1.17943742141293
0.61,1.18372896406317
0.62,1.18811243211806
0.63,1.19264790749426
0.64,1.19734543717161
0.65,1.20221653667999
0.66,1.20727372340927
0.67,1.21253087770449
0.68,1.21800328177062
0.69,1.22370820303491
0.70,1.22966457184468
0.71,1.22960215564022
0.72,1.22915230145426
0.73,1.22870160819666
0.74,1.22825016185261
0.75,1.22779762240487
0.76,1.22734430919614
0.77,1.22689018781636
0.78,1.22643523868084
0.79,1.2259794126075
0.80,1.22552262333381
0.81,1.24042043839724
0.82,1.25531725483975
0.83,1.27021322350319
0.84,1.28510834336456
0.85,1.30000262826092
0.86,1.31489622905162
0.87,1.32978882613526
0.88,1.3446807222534
0.89,1.35957167939524
0.90,1.37446172984712
0.91,1.38380806961008
0.92,1.41184708889896
0.93,1.43599607738229
0.94,1.44223552541563
0.95,1.44847497344897
0.96,1.45471442148231
0.97,1.46095386951565
0.98,1.46719331754899
0.99,1.47343276558234
1.00,1.47967221361568
1.01,1.48591166164902
1.02,1.49215110968236
1.03,1.4983905577157
1.04,1.50463000574904
1.05,1.51086945378238
1.06,1.5338669946586
1.07,1.56046735672064
1.08,1.59046887262763
1.09,1.62372291855845
1.10,1.66011586751678
1.11,1.69955896751132
1.12,1.74198205158551
1.13,1.78732854219926
1.14,1.83555267272284
1.15,1.88661749217348
1.16,1.93955888071108
1.17,1.99525611725716
1.18,2.05372395651372
1.19,2.11494688964457
1.20,2.17863534364242
1.21,2.24490813881007
1.22,2.31390782168155
1.23,2.38562977413518
1.24,2.4600715316258
1.25,2.53723233870978
1.26,2.61711260230825
1.27,2.69971445675126
1.28,2.78504104953676
1.29,2.87309660029004
1.30,2.96388631518656
1.31,3.05744610513196
1.32,3.11377802536807
1.33,3.07518569341005
1.34,3.03809033035076
1.35,3.00238935584394
1.36,2.96799007746445
1.37,2.93480944673622
1.38,2.90277200751833
1.39,2.87180938600078
1.40,2.84185905544285
1.41,2.81286359772279
1.42,2.78477091565988
1.43,2.75753313517958
1.44,2.73110551365323
1.45,2.70544781627557
1.46,2.68052178586115
1.47,2.65629259387431
1.48,2.6327283394345
1.49,2.60979842489657
1.50,2.58747497096849
1.51,2.56573211236348
